,coef,SE (model+image cluster),SE (image-only cluster),SE ratio
Intercept,1.9395893685618273,0.11107186492313546,0.10907442388108822,0.9820166786302766
"C(model, Treatment(reference='gemma4-12b'))[T.gemma4-e4b]",-1.9387042766958826,0.11583251290784265,0.11153646150127898,0.9629115237275251
"C(model, Treatment(reference='gemma4-12b'))[T.mistral-small-3.1-24b]",-1.6848403312575284,0.11632389999585044,0.11941450046105884,1.0265689206200845
"C(model, Treatment(reference='gemma4-12b'))[T.pixtral-12b]",-1.827856257064223,0.11756133901950205,0.12699612092489196,1.080254120819641
"C(model, Treatment(reference='gemma4-12b'))[T.qwen3-vl-4b]",-2.056353038664392,0.1186094093723607,0.1104366920074184,0.9310955394838449
"C(model, Treatment(reference='gemma4-12b'))[T.qwen3-vl-8b]",-1.9463708124916517,0.1184810473298941,0.10593734092140154,0.8941290046705416
"C(signal_type, Treatment(reference='metrics'))[T.likes_only]",-0.033408154449044596,0.023828230484451363,0.023228829423950142,0.9748449193114718
"C(signal_type, Treatment(reference='metrics'))[T.likes_only_noise]",-0.06660628201337736,0.01938722987986316,0.018653523214417322,0.9621551572869153
disparity,-0.37150498831338047,0.02973683638834505,0.028000674107173447,0.9416157704707261
"C(model, Treatment(reference='gemma4-12b'))[T.gemma4-e4b]:disparity",-0.7419562447809019,0.035719325297210815,0.0346166674607795,0.9691299366027663
"C(model, Treatment(reference='gemma4-12b'))[T.mistral-small-3.1-24b]:disparity",-0.5193806184183773,0.03381941038251684,0.030986282429047607,0.9162277543746347
"C(model, Treatment(reference='gemma4-12b'))[T.pixtral-12b]:disparity",-0.030336878541955003,0.029757441711336537,0.029847063817260912,1.0030117543972281
"C(model, Treatment(reference='gemma4-12b'))[T.qwen3-vl-4b]:disparity",-0.9458780052163116,0.04348179094616711,0.0455970223897757,1.0486463735182243
"C(model, Treatment(reference='gemma4-12b'))[T.qwen3-vl-8b]:disparity",-0.5696765666924829,0.03575774941061221,0.03490803227477642,0.9762368395706804
"C(signal_type, Treatment(reference='metrics'))[T.likes_only]:disparity",0.45244397629507865,0.020729511239542853,0.014513326306715235,0.7001287265775059
"C(signal_type, Treatment(reference='metrics'))[T.likes_only_noise]:disparity",0.2660343420528713,0.019667576985771682,0.015370672456293,0.7815234417240499
