model,signal_type,correct_scale_disadv,incorrect_scale_disadv,disadvantaged_pct,advantaged_pct,ratio,n_disadv,n_adv
gemma4-e4b,likes_only_noise,0,1000000,0.0,100.0,0.004975124378109453,100,100
gemma4-e4b,metrics,0,1000000,0.0,100.0,0.004975124378109453,100,100
ministral-3-14b,metrics,0,1000000,0.0,100.0,0.004975124378109453,100,100
ministral-3-14b,likes_only_noise,0,1000000,0.0,99.0,0.005025125628140704,100,100
qwen3-vl-4b,metrics,0,1000000,0.0,97.0,0.005128205128205128,100,100
qwen3-vl-8b,likes_only_noise,0,1000000,0.0,93.0,0.0053475935828877,100,100
qwen3-vl-8b,metrics,0,1000000,0.0,92.0,0.005405405405405406,100,100
qwen3-vl-4b,likes_only_noise,0,1000000,1.0,97.0,0.015384615384615384,100,100
ministral-3-8b,metrics,0,1000000,1.0,83.0,0.017964071856287425,100,100
ministral-3-8b,likes_only_noise,0,1000000,34.0,52.0,0.6571428571428571,100,100
gemma4-12b,likes_only_noise,0,1000000,74.0,93.0,0.7967914438502675,100,100
gemma4-12b,metrics,0,1000000,79.0,95.0,0.8324607329842931,100,100
