model,signal_type,mean_ratio_21_pairs,extreme_ratio_0v1M
gemma4-e4b,metrics,0.01690656101649383,0.004975124378109453
gemma4-e4b,likes_only_noise,0.16603038364685713,0.004975124378109453
ministral-3-14b,metrics,0.004994928350155088,0.004975124378109453
ministral-3-14b,likes_only_noise,0.058018220323610634,0.005025125628140704
qwen3-vl-4b,metrics,0.1270400598245741,0.005128205128205128
qwen3-vl-8b,likes_only_noise,0.17546655569082364,0.0053475935828877
qwen3-vl-8b,metrics,0.022660179867364103,0.005405405405405406
qwen3-vl-4b,likes_only_noise,0.05543076510092489,0.015384615384615384
ministral-3-8b,metrics,0.07115319339221848,0.017964071856287425
ministral-3-8b,likes_only_noise,0.6595066423634167,0.6571428571428571
gemma4-12b,likes_only_noise,0.8251794856546226,0.7967914438502675
gemma4-12b,metrics,0.9421438410178886,0.8324607329842931
